Cell	Ref1.1	Ref1.10	Ref1.11	Ref1.12	Ref1.13	Ref1.14	Ref1.15	Ref1.16	Ref1.17	Ref1.18	Ref1.19	Ref1.2	Ref1.20	Ref1.21	Ref1.22	Ref1.23	Ref1.24	Ref1.25	Ref1.26	Ref1.27	Ref1.28	Ref1.29	Ref1.3	Ref1.30	Ref1.31	Ref1.32	Ref1.33	Ref1.34	Ref1.35	Ref1.4	Ref1.5	Ref1.6	Ref1.7	Ref1.8	Ref1.9	Ref2.1	Ref2.10	Ref2.11	Ref2.12	Ref2.13	Ref2.14	Ref2.15	Ref2.17	Ref2.18	Ref2.19	Ref2.2	Ref2.20	Ref2.22	Ref2.23	Ref2.24	Ref2.25	Ref2.3	Ref2.4	Ref2.9	Ref2.T0	Ref2.T1	Ref2.T10	Ref2.T11	Ref2.T12	Ref2.T13	Ref2.T14	Ref2.T15	Ref2.T2	Ref2.T3	Ref2.T4	Ref2.T5	Ref2.T7	Ref2.T8	Ref2.T9	Ref3.10	Ref3.16	Ref3.18	Ref3.19	Ref3.2	Ref3.4	Ref3.7	Ref3.8	Ref3.9	Ref4.1	Ref4.10	Ref4.11	Ref4.12	Ref4.13	Ref4.14	Ref4.15	Ref4.16	Ref4.17	Ref4.18	Ref4.19	Ref4.2	Ref4.3	Ref4.4	Ref4.5	Ref4.6	Ref4.7	Ref4.8	Ref4.9	Ref5.tB	Ref5.tDC1	Ref5.tDC2	Ref5.tDC3	Ref5.tMac1	Ref5.tMac2	Ref5.tMac3	Ref5.tMac4	Ref5.tMac5	Ref5.tMac6	Ref5.tMac7	Ref5.tMac8	Ref5.tMac9	Ref5.tMacCycl	Ref5.tMast1	Ref5.tMast2	Ref5.tMono1	Ref5.tMono2	Ref5.tMono3	Ref5.tMonoDC	Ref5.tN1	Ref5.tN2	Ref5.tN3	Ref5.tN4	Ref5.tN5	Ref5.tNK1	Ref5.tNK2	Ref5.tPC1	Ref5.tPC2	Ref5.tPC3	Ref5.tPC4	Ref5.tPC5	Ref5.tPC6	Ref5.tpDC	Ref5.tRBC	Ref5.tT1	Ref5.tT2	Ref5.tT3	Ref5.tT4	Ref5.tT5	Ref5.tT6	Ref5.tT7	Ref6.CD4..CXCL13.	Ref6.CD4..FOXP3.	Ref6.CD4..IL7R.	Ref6.CD4..RGCC.	Ref6.CD4..TRM	Ref6.CD8..mitotic.TRM	Ref6.CD8..TEM	Ref6.CD8..TRM	Ref6.CD8..γδ	Ref7.CD4.C1.CCR7	Ref7.CD4.C2.ANXA1	Ref7.CD4.C3.GNLY	Ref7.CD4.C4.CD69	Ref7.CD4.C5.EOMES	Ref7.CD4.C6.GZMA	Ref7.CD4.C7.CXCL13	Ref7.CD4.C8.FOXP3	Ref7.CD4.C9.CTLA4	Ref7.CD4.iNKT	Ref7.CD4.MAIT	Ref7.CD8.C1.LEF1	Ref7.CD8.C2.CD28	Ref7.CD8.C3.CX3CR1	Ref7.CD8.C4.GZMK	Ref7.CD8.C5.ZNF683	Ref7.CD8.C6.LAYN	Ref7.CD8.C7.SLC4A10	Ref7.DN.diverse	Ref7.DN.MAIT	Ref7.DP.diverse	Ref7.other.diverse	Ref7.other.MAIT
BASO1_3	0.012	0.014	0.006	0.018	0.02	0.012	0.012	0.018	0.026	0.004	0.024	0.002	0.018	0.032	0.084	0	0.008	0.004	0.014	0.068	0.184	0.102	0	0.034	0.038	0.02	0	0.074	0.07	0.014	0.004	0.01	0.012	0.028	0.014	0.018	0.02	0.01	0.048	0.062	0.196	0.012	0.058	0.076	0.044	0.034	0.074	0.002	0.008	0.002	0.02	0.024	0.046	0.052	0.016	0.004	0.002	0.014	0.002	0.002	0.002	0.044	0.012	0.004	0.012	0.01	0.008	0.06	0.002	0.33	0.084	0.034	0.002	0.036	0.384	0.108	0.014	0.008	0.094	0.034	0.068	0.062	0.102	0.028	0.008	0.086	0.026	0.076	0.06	0.048	0.038	0.038	0.048	0.02	0.028	0.004	0.132	0.04	0.016	0.044	0.018	0.078	0.052	0.022	0.01	0.002	0.012	0.016	0.06	0.004	0.056	0.004	0.004	0.07	0.04	0.01	0.216	0.002	0.002	0	0.012	0.006	0.016	0.004	0.02	0.004	0.014	0.014	0.004	0.022	0.042	0	0.006	0.002	0.012	0.006	0.002	0.006	0.03	0.232	0.206	0.11	0.02	0.096	0.02	0.116	0.088	0.112	0.016	0.082	0.018	0.098	0.004	0.14	0.052	0.124	0.1	0	0.008	0.01	0.01	0.022	0.018	0.038	0.014	0.002	0.128	0	0.002	0.112	0.002
BASO1_4	0.016	0.006	0	0.014	0.012	0.008	0.004	0.01	0.01	0	0.014	0.01	0.008	0.008	0.074	0	0.014	0.006	0.01	0.172	0.116	0.062	0.002	0.03	0.042	0.032	0.002	0.23	0.022	0.016	0.002	0.002	0.016	0.016	0.014	0.012	0.014	0.004	0.012	0.074	0.556	0.012	0.006	0.062	0.04	0.028	0.022	0	0.002	0	0.002	0.042	0.038	0.024	0.004	0	0.004	0	0	0	0.002	0.004	0.006	0.006	0.002	0	0.004	0.018	0	0.254	0.094	0.018	0.002	0.036	0.48	0.11	0.002	0.004	0.072	0.002	0.054	0.062	0.04	0.01	0.004	0.064	0.016	0.058	0.114	0.052	0.028	0.094	0.04	0.022	0.028	0.012	0.228	0.08	0.02	0.048	0.014	0.05	0.032	0.018	0.026	0.006	0.014	0.016	0.076	0.006	0.042	0.002	0.002	0.056	0.03	0.018	0.294	0.002	0	0.004	0.004	0.002	0.01	0.002	0.006	0	0.006	0.01	0.002	0.02	0.036	0	0.008	0.002	0.012	0	0	0.008	0.016	0.244	0.282	0.142	0.014	0.11	0.008	0.09	0.038	0.072	0.012	0.064	0.026	0.098	0.01	0.166	0.048	0.084	0.102	0	0.008	0.014	0.02	0.022	0.014	0.03	0.026	0.002	0.13	0.002	0.002	0.12	0
BASO1_5	0.058	0.032	0.004	0.02	0.04	0.008	0.008	0.022	0.024	0.006	0.018	0.028	0.03	0.034	0.154	0.002	0.028	0.006	0.024	0.012	0.036	0.026	0.024	0.012	0.032	0.02	0.004	0.03	0.176	0.022	0.01	0.008	0.006	0.018	0.018	0.014	0.014	0.026	0.022	0.092	0.076	0.014	0.062	0.044	0.02	0.026	0.1	0.01	0.02	0.026	0.02	0.028	0.056	0.02	0.024	0.014	0.014	0.03	0.004	0.006	0.016	0.07	0.012	0.016	0.022	0.008	0.022	0.048	0.004	0.054	0.352	0.036	0.01	0.102	0.19	0.164	0.054	0.038	0.16	0.05	0.074	0.058	0.088	0.028	0.042	0.062	0.03	0.062	0.012	0.032	0.024	0.092	0.064	0.036	0.044	0.02	0.022	0.172	0.012	0.034	0.024	0.03	0.032	0.028	0.012	0.006	0.014	0.006	0.072	0.004	0.014	0.006	0.002	0.026	0.016	0.01	0.05	0.002	0	0.01	0.01	0.004	0.012	0.002	0.04	0.008	0.024	0.046	0.008	0.034	0.044	0.008	0.02	0.01	0.022	0.014	0.002	0.03	0.08	0.148	0.13	0.102	0.026	0.046	0.012	0.206	0.07	0.26	0.02	0.018	0.012	0.068	0.032	0.118	0.042	0.09	0.114	0	0.008	0.02	0.02	0.024	0.06	0.052	0.032	0.008	0.138	0.006	0.002	0.112	0.004
BASO1_6	0.05	0.016	0.008	0.004	0.022	0.014	0.006	0.014	0.01	0.002	0.022	0.016	0.026	0.028	0.24	0.002	0.014	0.002	0.006	0.026	0.07	0.05	0.006	0.024	0.04	0.036	0.004	0.09	0.086	0.02	0.016	0.002	0.002	0.012	0.014	0.014	0.024	0.016	0.028	0.134	0.126	0.014	0.052	0.072	0.022	0.032	0.098	0.022	0.008	0.004	0.008	0.036	0.052	0.03	0.03	0.01	0.004	0.012	0	0	0.006	0.042	0.014	0.002	0.012	0.004	0.014	0.056	0.002	0.242	0.2	0.014	0.002	0.06	0.35	0.102	0.026	0.004	0.112	0.02	0.078	0.068	0.038	0.036	0.008	0.068	0.012	0.106	0.034	0.032	0.034	0.118	0.06	0.036	0.026	0.024	0.09	0.152	0.016	0.032	0.022	0.038	0.034	0.028	0.008	0.004	0.01	0.008	0.058	0.008	0.04	0.012	0.004	0.048	0.028	0.006	0.188	0.006	0	0	0.008	0	0.01	0.004	0.018	0.002	0.016	0.02	0.01	0.022	0.044	0	0.01	0.006	0.012	0.008	0	0.012	0.048	0.244	0.19	0.2	0.018	0.064	0.006	0.132	0.032	0.114	0.02	0.044	0.026	0.104	0.014	0.126	0.06	0.136	0.084	0	0.004	0.01	0.008	0.02	0.016	0.038	0.014	0.01	0.134	0	0	0.132	0
BASO1_7	0.008	0.008	0	0.002	0.01	0.01	0	0.006	0.012	0.002	0.006	0.004	0.008	0.01	0.028	0.004	0.002	0.002	0.006	0.02	0.028	0.172	0.002	0.336	0.136	0.034	0	0.04	0.088	0.004	0.002	0.004	0	0	0.006	0.01	0.082	0	0.008	0.014	0.012	0.064	0.022	0.17	0.004	0.276	0.014	0.006	0.002	0	0	0.082	0.036	0.17	0.002	0	0	0.002	0	0.002	0	0.008	0.004	0	0	0.002	0	0.008	0	0.202	0.032	0.022	0.004	0.054	0.6	0.012	0.036	0.038	0.042	0.008	0.044	0.038	0.044	0.018	0.014	0.136	0.024	0.104	0.02	0.24	0.072	0.03	0.056	0.026	0.028	0.014	0.042	0.04	0.004	0.008	0.008	0.148	0.06	0.03	0.01	0.002	0.016	0.014	0.05	0.002	0.04	0.004	0.002	0.142	0.072	0.062	0.124	0.014	0.004	0.008	0.004	0.012	0.01	0.004	0.004	0	0.008	0.006	0.008	0.01	0.018	0.002	0.004	0	0.016	0.004	0.002	0.008	0.016	0.1	0.158	0.122	0.028	0.154	0.012	0.184	0.106	0.136	0.004	0.018	0.116	0.066	0.006	0.11	0.036	0.034	0.038	0	0.004	0.008	0.042	0.138	0.062	0.092	0.048	0.012	0.072	0	0	0.094	0
BASO1_8	0.022	0.014	0	0.002	0.014	0	0.002	0.002	0	0	0.008	0.01	0.008	0.016	0.634	0	0.002	0	0	0.006	0.046	0.008	0.004	0.01	0.042	0.018	0	0.074	0.01	0.01	0.002	0.004	0.004	0.01	0.018	0.018	0.012	0.09	0.036	0.214	0.092	0.012	0.014	0.098	0.012	0.018	0.036	0.002	0.002	0	0.004	0.034	0.024	0.012	0.038	0.016	0.008	0.002	0.006	0.004	0.008	0.034	0.014	0.006	0.028	0.018	0.026	0.032	0.03	0.126	0.234	0.008	0.004	0.126	0.28	0.078	0.076	0.068	0.056	0	0.014	0.036	0.012	0.006	0.006	0.012	0.014	0.032	0.024	0.014	0.02	0.532	0.056	0.064	0.032	0.034	0.036	0.302	0.02	0.048	0.016	0.03	0.02	0.006	0.004	0.002	0	0.006	0.044	0	0.02	0.002	0	0.032	0.03	0.012	0.184	0.002	0	0.004	0	0	0.01	0	0.004	0.002	0.022	0.008	0	0.008	0.078	0	0.012	0.012	0.012	0	0.004	0.012	0.032	0.156	0.154	0.228	0.084	0.066	0.016	0.144	0.054	0.098	0.02	0.06	0.02	0.112	0.016	0.04	0.034	0.086	0.046	0	0.018	0.064	0.04	0.02	0.052	0.062	0.006	0.024	0.094	0	0.008	0.178	0
DENDA2_1	0	0	0	0.004	0	0	0	0	0	0.002	0.002	0	0	0	0.014	0	0	0	0	0.036	0.006	0.034	0	0.048	0.182	0.078	0	0.584	0	0.002	0	0	0.002	0.002	0.004	0	0.074	0.006	0	0.01	0.252	0.1	0.004	0.01	0	0.1	0	0.002	0	0	0.002	0.286	0.062	0.084	0.002	0	0	0	0	0	0	0.002	0	0	0.004	0	0	0	0	0.106	0	0.002	0	0.002	0.89	0	0	0	0.01	0	0	0.032	0.004	0	0	0.016	0.004	0.006	0.038	0.072	0.042	0.052	0.008	0.002	0.01	0.002	0.702	0.004	0.016	0.062	0.008	0.07	0.068	0.016	0.002	0.008	0.01	0.018	0.064	0.014	0.028	0.002	0	0.142	0.026	0.012	0.416	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0	0	0	0.002	0	0	0	0.002	0.134	0.23	0.132	0.12	0.194	0.006	0.078	0.048	0.058	0.008	0.054	0.026	0.114	0.014	0.124	0.036	0.062	0.12	0	0.016	0.014	0.008	0.018	0.006	0.066	0.036	0.008	0.136	0	0.01	0.124	0
DENDA2_2	0	0.006	0	0.004	0	0.008	0.002	0	0	0	0.008	0	0	0.012	0.008	0	0.002	0	0	0.084	0.024	0.068	0.002	0.082	0.248	0.094	0	0.326	0.002	0.004	0	0	0.002	0.008	0.006	0	0.084	0	0.004	0	0.246	0.04	0	0.056	0.006	0.092	0.002	0	0	0.004	0.002	0.184	0.176	0.088	0	0.002	0	0	0	0	0	0	0.002	0.004	0.004	0	0	0.004	0	0.116	0	0	0	0.01	0.87	0	0	0.004	0.022	0.002	0.006	0.06	0.016	0.006	0.002	0.082	0.02	0.032	0.056	0.096	0.086	0.012	0.046	0.024	0.034	0.01	0.388	0.002	0.01	0.042	0.004	0.134	0.084	0.02	0.012	0.01	0.016	0.012	0.036	0.012	0.036	0.008	0	0.12	0.062	0.008	0.336	0	0	0.002	0.002	0.002	0	0.002	0.002	0	0	0.004	0	0.002	0.012	0	0.002	0	0	0	0.004	0	0.002	0.122	0.2	0.156	0.07	0.198	0.008	0.09	0.07	0.086	0.006	0.034	0.036	0.07	0.026	0.158	0.058	0.058	0.134	0	0.004	0.008	0.018	0.018	0.022	0.056	0.038	0.008	0.118	0	0.004	0.126	0
DENDA2_3	0	0.002	0	0.002	0	0.004	0.004	0.002	0.002	0.002	0.004	0	0.01	0.014	0.022	0	0.006	0	0	0.052	0.044	0.074	0.002	0.064	0.22	0.072	0	0.37	0.008	0.01	0	0	0.002	0.004	0.004	0	0.074	0	0.004	0.006	0.224	0.026	0	0.104	0.02	0.094	0.002	0	0	0.004	0	0.178	0.134	0.11	0.002	0	0.002	0	0	0	0	0.004	0	0.002	0.002	0.002	0	0.004	0.002	0.132	0	0.002	0	0.01	0.854	0	0	0.002	0.022	0.002	0.014	0.064	0.032	0.002	0.002	0.084	0.026	0.036	0.032	0.1	0.072	0.026	0.054	0.026	0.024	0.018	0.364	0.006	0.018	0.044	0.012	0.066	0.07	0.026	0.014	0.002	0.006	0.014	0.048	0.014	0.056	0.01	0.002	0.124	0.046	0.01	0.364	0	0	0.004	0	0	0	0.002	0.004	0.002	0.002	0	0	0.004	0.012	0	0.002	0	0.006	0.002	0.004	0.002	0.002	0.11	0.19	0.146	0.08	0.166	0.012	0.122	0.068	0.106	0.006	0.03	0.048	0.084	0.01	0.21	0.09	0.034	0.08	0	0.006	0.008	0.018	0.024	0.034	0.046	0.036	0.008	0.102	0	0.006	0.12	0
DENDA2_4	0.002	0.002	0	0	0	0.002	0.002	0	0.002	0	0.008	0	0.006	0.02	0.028	0	0.002	0	0	0.052	0.028	0.052	0	0.062	0.226	0.078	0	0.404	0.008	0.004	0	0.002	0	0.008	0.002	0.002	0.058	0.004	0.006	0.01	0.286	0.05	0	0.08	0.004	0.074	0.002	0	0	0.004	0.002	0.182	0.11	0.098	0.002	0	0.004	0	0	0	0.002	0.002	0	0.008	0.004	0	0.002	0.002	0.002	0.376	0	0	0	0.014	0.608	0	0.002	0	0.032	0	0.014	0.044	0.014	0.008	0.004	0.056	0.028	0.04	0.054	0.098	0.102	0.032	0.038	0.028	0.032	0.014	0.362	0.002	0.004	0.044	0.002	0.108	0.082	0.034	0.016	0.004	0.008	0.008	0.054	0.008	0.042	0.01	0.004	0.21	0.054	0.04	0.232	0.002	0.002	0.002	0.012	0.004	0	0.002	0	0.002	0	0	0	0.002	0.004	0	0	0	0	0	0	0	0.002	0.078	0.122	0.112	0.12	0.17	0.014	0.176	0.134	0.074	0	0.01	0.056	0.056	0.046	0.184	0.07	0.02	0.074	0	0.02	0.006	0.026	0.03	0.062	0.084	0.05	0.006	0.09	0	0	0.108	0.002
DENDA2_5	0	0.004	0	0	0.002	0.006	0.002	0.006	0.004	0	0.002	0	0.004	0.002	0.026	0	0.004	0	0.002	0.052	0.02	0.04	0	0.04	0.202	0.076	0.002	0.49	0.002	0.002	0	0.002	0.002	0.004	0.002	0	0.104	0.004	0	0.004	0.16	0.026	0.004	0.038	0.01	0.126	0	0.006	0	0.004	0	0.332	0.08	0.094	0	0	0	0	0.002	0	0	0	0	0.002	0	0	0.004	0	0	0.256	0.002	0.004	0	0.012	0.706	0.008	0.006	0.006	0.024	0	0.006	0.03	0.014	0.002	0.002	0.028	0.01	0.018	0.068	0.076	0.044	0.062	0.012	0.01	0.016	0.004	0.574	0.002	0.038	0.06	0.006	0.038	0.068	0.034	0.006	0.008	0.01	0.008	0.066	0.02	0.034	0.004	0	0.11	0.028	0.008	0.426	0	0	0.002	0	0.002	0	0	0	0.004	0	0	0	0	0.004	0	0.002	0	0.004	0	0.004	0	0.004	0.136	0.178	0.15	0.108	0.134	0.01	0.116	0.088	0.08	0.002	0.038	0.04	0.08	0.018	0.168	0.068	0.05	0.106	0	0.01	0.006	0.014	0.026	0.03	0.056	0.06	0.008	0.106	0	0.006	0.106	0.002
DENDA1_1	0.006	0.004	0	0.006	0.004	0	0.002	0.002	0.002	0	0.002	0	0	0.006	0.054	0	0.002	0	0.002	0.1	0.04	0.038	0	0.018	0.05	0.028	0	0.58	0.01	0.002	0	0	0.022	0.012	0.008	0.016	0.056	0.014	0.014	0.022	0.18	0.034	0.012	0.042	0.228	0.052	0.034	0.004	0.006	0	0.008	0.078	0.064	0.042	0.026	0.002	0.006	0.004	0	0.002	0.004	0.014	0.006	0.006	0.004	0	0.004	0.014	0.002	0.326	0.026	0.01	0.006	0.032	0.46	0.114	0.006	0.02	0.034	0	0.006	0.036	0.014	0	0.014	0.04	0.028	0.106	0.548	0.018	0.02	0.012	0.018	0.012	0.018	0.008	0.068	0.006	0.02	0.038	0.01	0.056	0.07	0.05	0.024	0.008	0.02	0.018	0.092	0.01	0.038	0	0	0.062	0.02	0.004	0.278	0.002	0	0	0.006	0	0.002	0.002	0.002	0.012	0.002	0.008	0	0	0.12	0	0	0.006	0.008	0.002	0.002	0.002	0	0.2	0.24	0.124	0.032	0.17	0.012	0.082	0.068	0.072	0.006	0.012	0.016	0.09	0.028	0.116	0.054	0.064	0.144	0	0.014	0.014	0.016	0.03	0.014	0.044	0.03	0.018	0.178	0.002	0.002	0.106	0.002
DENDA1_2	0.026	0.006	0	0.016	0.016	0.022	0.022	0.034	0.016	0.012	0.038	0.008	0.04	0.032	0.076	0.002	0.012	0.01	0.016	0.038	0.068	0.06	0.014	0.022	0.018	0.01	0.002	0.18	0.082	0.004	0.012	0.008	0.028	0.022	0.028	0.044	0.012	0.012	0.048	0.036	0.084	0.004	0.062	0.056	0.204	0.034	0.064	0.006	0.002	0.022	0.044	0.018	0.034	0.028	0.008	0.006	0.008	0.012	0.004	0.008	0.008	0.022	0.03	0.016	0.01	0.01	0.018	0.024	0.002	0.188	0.042	0.026	0.01	0.074	0.396	0.156	0.058	0.05	0.06	0.022	0.026	0.04	0.072	0.006	0.054	0.056	0.074	0.056	0.322	0.022	0.032	0.014	0.046	0.04	0.024	0.006	0.028	0.014	0.004	0.03	0.012	0.102	0.058	0.038	0.02	0.008	0.012	0.006	0.036	0.006	0.032	0.01	0.004	0.048	0.04	0.01	0.1	0.008	0	0.004	0.016	0.018	0.018	0.02	0.03	0.008	0.014	0.012	0.006	0.01	0.178	0.004	0.008	0.008	0.01	0.006	0.004	0.012	0.016	0.15	0.116	0.074	0.026	0.154	0.008	0.176	0.14	0.156	0.008	0.02	0.046	0.084	0.046	0.14	0.076	0.046	0.064	0	0.012	0.024	0.02	0.052	0.058	0.062	0.038	0.012	0.104	0	0.006	0.08	0.002
DENDA1_3	0.024	0.026	0.004	0.018	0.038	0.034	0.012	0.024	0.028	0.012	0.028	0.006	0.03	0.028	0.048	0.004	0.008	0.022	0.02	0.016	0.07	0.046	0.01	0.02	0.018	0.018	0.01	0.07	0.236	0.006	0.006	0.006	0.016	0.02	0.018	0.042	0.02	0.01	0.026	0.036	0.07	0.01	0.15	0.048	0.098	0.018	0.124	0.016	0.02	0.028	0.028	0.012	0.04	0.034	0.008	0.008	0.006	0.02	0.002	0.006	0.008	0.034	0.018	0.008	0.002	0.01	0.008	0.028	0.004	0.156	0.012	0.042	0.006	0.112	0.342	0.2	0.068	0.062	0.062	0.06	0.104	0.052	0.146	0.024	0.104	0.076	0.044	0.056	0.104	0.022	0.04	0.012	0.018	0.02	0.028	0.002	0.026	0.018	0.004	0.014	0.004	0.096	0.04	0.034	0.01	0.008	0.004	0.02	0.042	0.01	0.024	0.028	0.006	0.048	0.022	0.018	0.068	0.018	0.002	0.006	0.02	0.024	0.018	0.018	0.036	0.006	0.02	0.026	0.008	0.062	0.054	0.042	0.03	0.012	0.018	0.016	0.002	0.018	0.026	0.17	0.106	0.068	0.012	0.178	0.006	0.166	0.154	0.14	0.016	0.018	0.034	0.07	0.04	0.126	0.064	0.048	0.054	0	0.01	0.028	0.026	0.052	0.04	0.064	0.046	0.016	0.128	0	0.008	0.108	0.004
DENDA1_4	0.002	0.002	0.002	0.006	0.006	0.01	0.002	0.004	0.002	0.002	0.006	0.004	0.002	0.002	0.074	0	0	0	0	0.076	0.036	0.034	0	0.016	0.032	0.02	0	0.564	0.016	0.006	0.002	0.004	0.034	0.022	0.012	0.022	0.044	0.014	0.018	0.056	0.114	0.03	0.018	0.068	0.206	0.058	0.028	0.006	0	0	0.026	0.086	0.04	0.044	0.016	0.004	0.008	0.014	0.006	0.01	0.002	0.01	0.008	0.006	0.002	0.006	0.006	0.016	0.008	0.136	0.052	0.016	0.014	0.064	0.552	0.09	0.026	0.05	0.024	0.002	0.002	0.032	0.018	0.006	0.008	0.032	0.018	0.062	0.578	0.014	0.024	0.036	0.03	0.012	0.024	0.012	0.066	0.012	0.004	0.042	0.014	0.076	0.076	0.04	0.008	0.004	0.016	0.026	0.074	0.008	0.034	0.008	0	0.096	0.034	0.014	0.262	0.002	0	0.002	0.006	0.006	0.002	0	0.002	0.008	0.002	0.002	0	0	0.112	0	0.002	0	0.002	0	0	0	0.004	0.148	0.116	0.084	0.024	0.206	0.01	0.136	0.196	0.08	0.004	0.008	0.042	0.062	0.056	0.16	0.084	0.032	0.034	0	0.008	0.008	0.02	0.04	0.102	0.096	0.062	0.01	0.072	0.004	0.014	0.08	0.002
DENDA1_5	0.034	0.016	0.014	0.03	0.056	0.016	0.02	0.034	0.068	0.014	0.018	0.014	0.014	0.016	0.048	0.002	0.016	0.008	0.044	0.03	0.074	0.02	0.016	0.018	0.024	0.002	0.002	0.094	0.098	0.014	0.006	0	0.036	0.052	0.032	0.032	0.022	0.016	0.034	0.052	0.082	0.006	0.066	0.074	0.088	0.032	0.094	0.012	0.01	0.026	0.022	0.032	0.042	0.024	0.026	0.016	0.006	0.024	0.006	0.01	0.014	0.034	0.02	0.01	0.014	0.008	0.014	0.026	0.006	0.086	0.088	0.142	0.01	0.074	0.248	0.204	0.086	0.062	0.058	0.066	0.098	0.074	0.204	0.018	0.08	0.074	0.034	0.052	0.072	0.018	0.024	0.018	0.03	0.018	0.024	0.006	0.032	0.026	0.01	0.018	0.002	0.094	0.052	0.09	0.028	0.012	0.038	0.038	0.058	0.006	0.05	0.006	0.004	0.048	0.014	0.01	0.102	0.002	0.002	0.004	0.012	0.004	0.004	0.002	0.03	0.008	0.026	0.02	0.01	0.03	0.052	0.004	0.02	0.008	0.014	0.01	0.004	0.018	0.01	0.16	0.142	0.054	0.016	0.128	0.02	0.108	0.168	0.204	0.014	0.018	0.032	0.052	0.026	0.14	0.072	0.04	0.074	0.004	0.014	0.02	0.014	0.074	0.06	0.056	0.026	0.032	0.1	0.004	0.01	0.112	0.006
PRE_BCELL2_1	0.05	0.006	0.004	0.004	0.008	0.01	0.004	0.006	0.006	0.002	0.014	0.32	0.006	0.006	0.018	0	0.114	0.004	0.014	0.01	0.012	0.002	0.084	0.002	0.002	0.008	0.004	0.002	0.034	0.184	0.02	0.002	0.006	0.008	0.024	0.04	0.008	0.01	0.03	0.088	0.048	0.008	0.112	0.016	0.022	0.012	0.238	0.024	0.03	0	0.088	0.004	0.042	0.014	0.02	0.002	0.006	0.01	0.008	0	0.002	0.046	0.01	0.006	0.01	0.006	0.004	0.036	0	0.058	0.262	0.108	0.014	0.07	0.182	0.28	0.012	0.014	0.682	0.024	0.036	0.02	0.042	0.016	0.05	0.014	0.01	0.038	0.006	0.002	0.006	0.012	0.016	0.01	0.01	0.002	0.004	0.09	0.002	0.006	0.006	0.026	0.016	0.018	0.012	0	0.012	0.008	0.018	0.004	0.01	0.018	0.006	0.034	0.024	0.014	0.042	0.002	0.004	0.004	0.012	0.014	0.016	0.006	0.062	0.006	0.068	0.094	0.028	0.062	0.034	0.02	0.038	0	0.058	0.024	0.004	0.048	0.03	0.32	0.218	0.132	0.016	0.068	0.006	0.112	0.02	0.108	0.018	0.016	0.006	0.064	0.026	0.076	0.122	0.104	0.188	0	0.006	0.012	0.004	0.006	0.02	0.028	0.026	0.008	0.188	0	0	0.082	0
PRE_BCELL2_3	0.046	0.006	0.004	0.01	0.018	0.012	0.002	0	0.004	0.006	0.014	0.336	0.006	0.004	0.01	0	0.094	0	0.01	0.006	0.026	0.004	0.062	0.004	0.002	0.008	0.004	0.008	0.044	0.174	0.024	0.004	0.004	0.004	0.04	0.03	0.014	0.016	0.028	0.056	0.07	0.006	0.12	0.044	0.012	0.014	0.22	0.016	0.014	0.002	0.066	0.016	0.066	0.04	0.022	0.012	0.006	0.01	0	0	0.002	0.042	0.01	0.004	0.006	0.006	0.008	0.02	0.002	0.096	0.236	0.07	0.022	0.086	0.264	0.196	0.014	0.016	0.572	0.024	0.06	0.024	0.044	0.018	0.03	0.024	0.014	0.06	0.006	0.006	0.014	0.03	0.02	0.018	0.022	0.008	0.006	0.076	0.014	0.022	0.016	0.044	0.022	0.014	0.01	0	0.004	0.002	0.032	0.002	0.01	0.016	0.006	0.026	0.03	0.012	0.046	0.002	0.002	0.006	0.018	0.022	0.024	0.012	0.05	0.014	0.058	0.068	0.026	0.064	0.046	0.002	0.03	0.016	0.054	0.02	0.002	0.032	0.028	0.268	0.268	0.128	0.014	0.07	0.01	0.108	0.03	0.104	0.018	0.03	0	0.076	0.03	0.088	0.074	0.102	0.142	0	0.004	0.016	0.008	0.006	0.038	0.036	0.02	0.012	0.194	0	0	0.104	0.002
PRE_BCELL2_4	0.038	0.004	0.004	0.016	0.024	0.002	0	0.028	0.022	0.006	0.028	0.13	0.008	0.006	0.026	0.008	0.046	0.014	0.036	0.012	0.012	0.008	0.064	0.01	0.006	0.002	0.012	0.004	0.25	0.082	0.022	0.006	0.008	0.004	0.052	0.026	0.012	0.004	0.014	0.04	0.05	0.006	0.21	0.046	0.022	0.014	0.162	0.02	0.024	0.026	0.012	0.024	0.068	0.048	0.008	0.008	0.002	0.018	0	0.002	0.006	0.034	0.022	0.012	0.01	0.008	0.014	0.024	0.004	0.048	0.018	0.182	0.03	0.132	0.108	0.36	0.078	0.044	0.088	0.098	0.128	0.03	0.144	0.056	0.108	0.046	0.046	0.114	0.018	0.02	0.02	0.014	0.024	0.008	0.018	0.006	0.014	0.008	0.002	0.008	0	0.034	0.022	0.03	0.016	0.006	0.004	0.01	0.02	0	0.018	0.024	0	0.026	0.018	0.004	0.024	0.016	0.006	0.02	0.042	0.038	0.014	0.008	0.07	0.01	0.056	0.07	0.03	0.092	0.018	0.114	0.032	0.006	0.022	0.02	0.002	0.024	0.016	0.112	0.15	0.058	0.014	0.124	0.02	0.132	0.174	0.216	0.02	0.004	0.022	0.066	0.034	0.13	0.098	0.018	0.09	0	0	0.018	0.022	0.034	0.064	0.076	0.066	0.03	0.132	0	0.002	0.07	0.004
